HighlineID,GuideSectionID,HighlineName,Length,Height,Exposure,Stars,ApproachTime,WhoEstablished,WhenEstablished,WhoFA,WhenFA,ClimbingBeta,Warnings,Description,Tagging,TensionEnd,TensionEndLat,TensionEndLon,TensionEndMainAnchor,TensionEndBackupAnchor,StaticEndLat,StaticEndLon,StaticEndMainAnchor,StaticEndBackupAnchor
23,14,Ooohhhweee ,39,150,NULL,0,NULL,"Toe-Knee Sterai, Chris Wallace",43831,Chris Wallace,43831,NULL,NULL,Remarkably straightforward and free from any very dangerous scrambling or abseiling. If the ground is wet the small band of rock on the RHS that must be down scrambled to gain the rap ledge will be suicidal. Either it must be abseiled also (30m more rope) or better weather must be required (this is the recommended option),NULL,NULL,NULL,NULL,"60m Rap from small but secure boulder. A re-belay can be built at 30m down (#0.4 and #0.75). The main anchor is a solid horizontal break about 10m in from the arrete, which is level with the other side of the highline (lowest and furthest out point on the opposite side of the cliff). Cams from #0.5 though to #3 all fit this crack and create a solid 4 point anchor.",As for Main.,NULL,NULL,"At the furthest point on Thaune Arete there are a number of options. The easiest, however also off level, is a large boulder. The other option (level) is a couple meters lower and further out toward the drop. Find a series of small “locked in” boulders (Old TV size) and a solid horizontal flake. These create a good anchor point when equalised (bring many pieces of dyneema or 8mm static and rope pro)",As for Main.
24,14,Open project,45,280,NULL,0,NULL,Toni and Chris,43831,NULL,NULL,NULL,NULL,"This line just downhill from the summit on the right was attempted by Toni and Chris. It is by no means a very good line, just very very high. There is also a 15m no fall zone on the LHS. The only reason this line was not walked is due to the gap being 45m wide and the webbing being only 40m (additional rope extension was not an option).",NULL,NULL,NULL,NULL,Large solid but also individual blocks,As for Main.,NULL,NULL, A single but also bomber number 0 BD Micro cam (There are options to place another 0.1 and 00 also) ,"The rap rope, anchor off old concrete footing, rap 30m down death scree. At solid band of rock in the corner dig around with the nut tool to find a good 0.2, 0.4 and 0.75 BD cam placements. The main anchor is a further 25m lower."
25,15,Natural selection,26,60,NULL,1,NULL,"James Short, Gui Lopes, Joseph Huard, Travis Foster, Neeson Champion",42036,Gui Lopes,42036,NULL,NULL,"7m rap down necessary to access the base of the small pillar, extra rope is essential to get the spanset around the pillar.",NULL,NULL,NULL,NULL,Wrap the pillar with 9m of spanset,2 RBs (make sure to use steel connection/small diameter rope so the RBs are still available to rap down as it's a main rap point for the climbing area!).,NULL,NULL,Wrap the pillar with 9m spansets,Wrap the same pillar as the main line.
26,15,Natural selection v2,32,60,NULL,2,NULL,"Levi, Rye, Will, Alex",NULL,Levi,NULL,NULL,NULL,Use the Abseil point as an a frame for the highline anchor. Please only connect to the top of the chain or leave a couple slings and biners in a convenient location for climbers to continue to use the rap station. ,NULL,NULL,NULL,NULL,All natural (sling pillars & boulders),As for main,NULL,NULL,All natural (Sling pillars & boulders) (from the abseil with blue dot),As for main
27,15,TahiniShip ,70,80,NULL,3,NULL,"James Short, Gui Lopes, Joseph Huard, Travis Foster, Neeson Champion",42036,Joseph Huard,42036,NULL,NULL, It's recommended to use a static line fixed between a higher boulder and the main point of the anchor to stabilize it from the up and down movement.,"Easy walk around the gap, tag-line recommended.",NULL,NULL,NULL,3 FH on the backside of the pillar,3 x boulders to wrap on top of pillars,NULL,NULL, A rap down to access to the top of the pillar could be a good idea for a safe access. Natural: There are infinite possibilities here, Natural: Be creative it's a very versatile natural anchor.
28,15,Autobahnüberführung ,90,100,NULL,3,NULL,"Preston Alden, Max Sterling Silver, Lukus Irmler, Vale Rapp",42795," Lukus Irmler, Vale Rapp",42795,NULL,NULL,NULL,NULL,NULL,NULL,NULL,All natural (sling pillars & boulders) Goes to the huge detached pillar with a small leaning block connecting the summit to the mainland,As for main,NULL,NULL,All natural (Sling pillars & boulders),As for main
29,17,The Totem Pole,15,60,NULL,3,NULL,"Simon Young,  Danger Darren and Deano Rollins",39448,Hans hornbuger and Ryan graney,39448,NULL,NULL,The first Highline ever rigged in Australia and an absolute classic to this day. Requires climbing up to grade 25 on mixed gear in one of the most wild positions on the planet. ,NULL,NULL,NULL,NULL,2 x 8mm ring bolts,Small Cams (#0.2-#0.5),NULL,NULL,small to medium cams on the totem pole ledge equalised with the u bolts (possible to use the last Bolt on the tote route but only if no-one is climbing it). Hang the line from a series of small wires and cams in the last (4m) pitch of the tote.," as for main,  avoid pulling the block directly,  it is not very solid,  use it as an a frame."
30,17,Open Window,55,110,NULL,3,NULL,"James Short, Travis Foster, Joseph Huard, Gui Lopes & Neeson Champion",42036," Lukas Irmler, Max Sterling Silver, Vale Rapp",42795,NULL,NULL,"Small block in front of three main bolts on candlestick is to be used as an A-Frame, bolts are fairly hidden until you down climb 2m amongst the boulders on the opposite side to the top out",NULL,NULL,NULL,NULL,3 x 12mm bolt w/ FH,1 x 12mm bolt w/ FH & 15m Static rope wrap around small cliff features,NULL,NULL,3 x 12mm bolt w/ FH,2 x large vertical crack systems suited to middle range camming units
31,17,Ahoy Matey,23,120,NULL,1,NULL,Braden Riles and Ian Bool,43466,Braden Riles and Ian Bool,43466,NULL,NULL,Easiest to rig line on the peninsula - be sure to wave and say hi to the tourist boats.,NULL,NULL,NULL,NULL,4-7 shrubs and possible boulder wrap,As for main,NULL,NULL,"Series of boulders,  one big and a few smaller ones",As for main
32,18, Rise and Fall,70,30,NULL,1,NULL,"James Short, Ryan Robinson, Matt & Sarah Park, Heather Larson, Krystle Wright, Abby Lovis",42339,Ryan Robinson,42339,NULL,NULL,"Main cliff anchor (RHS) is situated on a ledge exactly halfway down the rappel to access the ocean and base of the Moai. When you gain this second ledge on the rappel, walk 10m along this ledge towards the ocean to locate the bolted anchor on a round platform hidden by a stack of small rocks (recover bolts with rocks when finished).",NULL,NULL,NULL,NULL,4 x 12mm Expansion Bolts (100mm deep),As for main,NULL,NULL,9.5m (± 0.5m) Spanset wrap around entire Moai tower,Use the rappel station ‘U’ bolts of Burning Spears
33,18,Rain as a gift,46,30,NULL,4,NULL,"Stepan, Alec Bog, Kamil",42370,Stepan ,42370,NULL,NULL,"Main cliff anchor (RHS) is situated on a ledge exactly halfway down the rappel to access the ocean and base of the Moai. When you gain this second ledge on the rappel, walk 20m to the left along this ledge to locate the bolted anchor on side of wall",NULL,NULL,NULL,NULL,"The oriental 4 x 10mm Dynabolts have been punched in by the first ascenders. This must now be done naturally with about 8m, more, of spanset). Consider a back up, and something to support the focal point from downward pull when the line is weighted.",As for Main,NULL,NULL,9.5m (± 0.5m) Spanset wrap around entire Moai tower. Scorpion hitch is best - extra spanset maybe required,Use the rappel station ‘U’ bolts of Burning Spears
34,18,The Illusion of Safety,22,35,NULL,4,NULL,"Max L-A,  Antek M,  Ian B,  Chris W",43435,"Max L-A,  Antek M,  Ian B,  Chris W",43435,NULL,NULL,"For its length, it is one of the best in Australia and certainly one of the best missions. The access to the mainland cliff anchor is by a series of easy boulder problems on the left of the wall (looking at it from the moai) with a tricky crux (grade 6) consider fixing a rope for less competent climbers as some areas are a bit chossy. ",NULL,NULL,NULL,NULL,9.5m (± 0.5m) Spanset wrap around entire Moai tower,Use the rappel station ‘U’ bolts of Burning Spears,NULL,NULL,2x U bolts in big boulder on cliff top (mainland),Multitude of trees (30m static required)
35,18,I'm Having Fun… I Suppose,140,35,NULL,2,NULL,"Stepan N, Chris W,  Art H-B,  Brendon P,  Charlie H",43497,Stepan Nov,43497,NULL,NULL,"This line is mega!  Absolute mission to rig, but worth it for how cool the walk over the ocean is. Linking requires a 50m swim. The solo traverse along the cliff has been done (about 30m above water level) and is just about the biggest death trap you could ask for,  not worth doing in any way. To access the far anchor requires soloing about grade 11 on some dubious rock on the easier sections (and down soloing too).",NULL,NULL,NULL,NULL,9.5m (± 0.5m) Spanset wrap around entire Moai tower,Use the rappel station ‘U’ bolts of Burning Spears,NULL,NULL,"About 6 very small trees and a boulder,  needs many dyneema extensions and about 30m of static to equalise all. ",As for main
36,19,Chastity Belt,55,300,NULL,NULL,NULL,"James Short, Ryan Robinson, Matt & Sarah Park, Heather Larson, Krystle Wright, Abby Lovis",42339,Ryan Robinson,42339,NULL,NULL,"A 10m rappel is required to access the anchor station for the near side of the chasm cliffs. A total of 15m of rope should be taken, 5m to build and extend an anchor over the edge from a well established cliff side tree/ bush and 10m to access the anchors below the cliff edge. The far side anchor is accessed easily via a small game trail around the rim of the chasm. Edge protection is really only needed for the far side anchor.",NULL,NULL,NULL,NULL,3 x 6mm RBs twisted leg glue-in (170mm deep),2 x 6mm RBs twisted leg glue-in,NULL,NULL,4 x 6mm RB twisted leg glue-in (170mm deep),Wrap various blocks/ boulders behind the main anchor
37,19,The soggy bush gets the blade,20,NULL,NULL,0,NULL," Maxwell Sterling-Silver, Preston Alden",42430,"Maxwell Sterling-Silver, Preston Alden",42430,NULL,NULL,"Short but sweet, a very classy FA, rappel & climb required to access far side anchor",NULL,NULL,NULL,NULL,Wrap Dolerite tower,As for main,NULL,NULL,Wrap Dolerite tower,As for main
38,20,Oh Gawd,70,250,NULL,NULL,NULL,"Jerry, Faith Dickey, Ben Plotkin-Swing, Preston Alden, Max Sterling-Silver",42430,"Jerry Miszewski, Ben Plotkin-Swing, Max Sterling",42430,NULL,NULL,NULL,NULL,NULL,NULL,NULL," All Natural, many wraps & trad gear",As for main,NULL,NULL,"All Natural,  slinging bushes.",As for Main
39,21,Tick Tick,33,25,90,NULL,NULL,Alex Bog and Chris Wallace,43824,Chris Wallace,43824,NULL,NULL,"Stunning alpine highline mission, done in one 16 hr day from carpark to carpark. Hint, tyrolyening off the pillar can save you a fair bit of time.",NULL,NULL,NULL,NULL,"At the highest point of the stegosaurus use a series of slings, dyneema, cams and lots of rope pro to build a spiders web.",As for main,NULL,NULL, 3 Bolts atop Pole Dancer pinnacle (bring rope pro),As for main
40,22,Unknown Name,90,100,NULL,NULL,NULL,"Jerry, Faith Dickey, Ben Plotkin-Swing, Preston Alden, Max Sterling-Silver",42430,Ben Plotkin-Swing,42430,NULL,NULL,NULL,NULL,NULL,NULL,NULL,All Natural tree anchor w/ slung rock as re-directional,As for main,NULL,NULL,Lookout fence posts & tree anchor,As for main
41,22,Chris is a Dictator,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,23,Unknown Name,30,70,NULL,NULL,NULL,"Billy Rowe, Toni Sterai, Chris Wallace, Ian, Brendon, Steve Pierce, Dylan, Emma, Brad Graham",NULL,"Toni Sterai, Chris Wallace, Ian Bool, Brendon Plazza, Brad Graham, Alex Wylie",NULL,NULL,NULL,"Likely the best tree highline in the universe. A very special experience, allow two days since rigging can take significant time. A 200m static, 100m static and a team of 3+ people plus a few reality altering substances are required. ",NULL,NULL,NULL,NULL,"Use the fixed tagline to pull roughly 170m of static rope up and then back down the tree, Fixing the base and then ascending the opposite strand. Pick the highest point on the tree you feel comfortable highlining off (we used the main trunk roughly 15m from the top)",NULL,NULL,NULL,From Gandalf's staff accurately throw a tagline through one of the upper branches of the closest uphill tree and then pull up an additional 100m worth of static and anchor it off so someone else can ascend the smaller tree. If the tagline doesn’t make it to a level fork have the other person arb up the remainder of the branches (tricky to stick the last throw). ,NULL
